pair,position,time,close,tp1,tp2,tp3,sl
AUD_USD,EXIT,2022-04-26 16:12:00,0.71527,0.71527,0.71527,0.71527,0.71527
BCO_USD,EXIT,2022-04-26 16:52:00,106.008,106.01,106.01,106.01,106.01
BTC_USD,SELL,2022-04-26 16:34:00,38618.0,37931.58,37473.97,36901.96,38846.81
DE30_EUR,EXIT,2022-04-26 16:10:00,13797.4,13797.4,13797.4,13797.4,13797.4
EUR_AUD,EXIT,2022-04-26 16:16:00,1.49021,1.49021,1.49021,1.49021,1.49021
EUR_JPY,EXIT,2022-04-26 16:40:00,135.877,135.88,135.88,135.88,135.88
EUR_USD,SELL,2022-04-26 16:40:00,1.06555,1.0635,1.06213,1.06043,1.06623
GBP_JPY,SELL,2022-04-26 16:40:00,160.706,160.29,160.01,159.66,160.84
GBP_USD,SELL,2022-04-26 14:06:00,1.2675,1.26449,1.26248,1.25997,1.2685
NAS100_USD,BUY,2022-04-26 16:54:00,13174.8,13299.97,13383.42,13487.73,13133.08
SPX500_USD,EXIT,2022-04-26 16:40:00,4224.6,4224.6,4224.6,4224.6,4224.6
US30_USD,EXIT,2022-04-26 16:18:00,33560.2,33560.2,33560.2,33560.2,33560.2
USD_CAD,EXIT,2022-04-26 16:38:00,1.27968,1.27968,1.27968,1.27968,1.27968
USD_JPY,BUY,2022-04-26 16:54:00,127.491,127.71,127.86,128.04,127.42
XAU_USD,SELL,2022-04-26 16:54:00,1901.755,1896.79,1893.49,1889.35,1903.41
