pair,position,time,close,tp1,tp2,tp3,sl
AUD_USD,SELL,2022-04-22 12:06:00,0.73021,0.72892,0.72806,0.72699,0.73064
BCO_USD,SELL,2022-04-22 14:34:00,107.474,106.05,105.1,103.92,107.95
BTC_USD,SELL,2022-04-22 13:38:00,40293.4,39862.22,39574.77,39215.46,40437.13
DE30_EUR,SELL,2022-04-22 13:36:00,14275.6,14204.38,14156.89,14097.54,14299.34
EUR_AUD,BUY,2022-04-22 15:38:00,1.48626,1.49051,1.49334,1.49687,1.48484
EUR_JPY,BUY,2022-04-21 23:40:00,139.154,139.36,139.5,139.68,139.08
EUR_USD,BUY,2022-04-22 01:10:00,1.08415,1.08546,1.08634,1.08743,1.08371
GBP_JPY,BUY,2022-04-22 00:42:00,167.418,167.72,167.92,168.17,167.32
GBP_USD,EXIT,2022-04-22 01:32:00,1.30266,1.30266,1.30266,1.30266,1.30266
NAS100_USD,SELL,2022-04-21 14:08:00,14177.4,14060.85,13983.15,13886.03,14216.25
SPX500_USD,SELL,2022-04-22 12:48:00,4385.7,4371.4,4361.87,4349.95,4390.47
US30_USD,SELL,2022-04-22 12:42:00,34700.7,34613.67,34555.64,34483.12,34729.71
USD_CAD,BUY,2022-04-22 15:38:00,1.27063,1.27375,1.27583,1.27843,1.26959
USD_JPY,BUY,2022-04-22 01:22:00,128.568,128.87,129.07,129.33,128.47
XAU_USD,BUY,2022-04-22 01:34:00,1953.3,1958.77,1962.41,1966.97,1951.48
